Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel_Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Number of Flights,Average Collisions per Flight
no_ca,6,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 10], [[1.0, 3.0], 5], [[1.0, 1.0], 9], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 4], [[2.0, 1.0], 10], [[2.0, 3.0], 8], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]], [[[0.0, 0.0], 2]], [[[3.0, 0.0], 2]]]",4.55,0,0,0,0,10.828,0,0,11,8,0
pf_ca,6,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1.0], [[0.496, 2.067], 0.0], [[0.974, 1.921], 0.0], [[1.0, 2.0], 10.0], [[1.096, 2.491], 0.0], [[0.957, 2.971], 0.0], [[1.0, 3.0], 5.0], [[0.987, 2.5], 0.0], [[0.982, 2.0], 0.0], [[0.985, 1.5], 0.0], [[0.584, 1.202], 0.0], [[1.0, 1.0], 9.0], [[0.778, 1.448], 0.0], [[0.329, 1.669], 0.0], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1.0], [[2.51, 2.098], 0.0], [[2.067, 1.866], 0.0], [[2.0, 2.0], 4.0], [[2.454, 1.79], 0.0], [[2.233, 1.342], 0.0], [[2.0, 1.0], 10.0], [[1.961, 1.499], 0.0], [[1.958, 1.999], 0.0], [[2.019, 2.495], 0.0], [[1.662, 2.845], 0.0], [[2.0, 3.0], 8.0], [[2.399, 2.698], 0.0], [[2.645, 2.264], 0.0], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]], [[[0.0, 0.0], 2]], [[[3.0, 0.0], 2]]]",4.55,0,0,0,0,12.442,0,0,14,28,0
basic_ca,6,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 10], [[1.0, 3.0], 5], [[1.0, 1.0], 9], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 4], [[2.0, 1.0], 10], [[2.0, 3.0], 8], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]], [[[0.0, 0.0], 2]], [[[3.0, 0.0], 2]]]",4.55,0,0,0,0,10.828,0,0,11,8,0
,,,,,,,,,,,,,
no_ca,7,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 2]], [[[3.0, 2.0], 1], [[2.0, 3.0], 1], [[3.0, 2.0], 1]], [[[1.5, 4.0], 1], [[2.0, 3.0], 7], [[1.0, 3.0], 3], [[1.0, 2.0], 8], [[2.0, 2.0], 2], [[1.5, 4.0], 1]], [[[0.0, 0.0], 1], [[1.0, 1.0], 2], [[1.0, 2.0], 2], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1], [[2.0, 1.0], 2], [[1.0, 1.0], 6], [[2.0, 2.0], 2], [[3.0, 0.0], 1]], [[[0.0, 4.0], 2]]]",13.89,3,1,0,2,19.723,2,0.101,21.5,14,0.214
pf_ca,7,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 2]], [[[3.0, 2.0], 1.0], [[2.615, 2.319], 0.0], [[2.229, 2.637], 0.0], [[2.0, 3.0], 1.0], [[1.738, 2.574], 0.0], [[1.474, 2.15], 0.0], [[1.382, 1.658], 0.0], [[1.861, 1.8], 0.0], [[1.796, 2.296], 0.0], [[1.805, 1.796], 0.0], [[2.289, 1.671], 0.0], [[2.529, 2.109], 0.0], [[3.0, 2.0], 1]], [[[1.5, 4.0], 1.0], [[1.687, 3.536], 0.0], [[1.909, 3.088], 0.0], [[2.0, 3.0], 7.0], [[1.5, 3.014], 0.0], [[1.725, 3.46], 0.0], [[1.359, 3.12], 0.0], [[1.0, 3.0], 3.0], [[1.054, 2.503], 0.0], [[0.572, 2.635], 0.0], [[1.011, 2.874], 0.0], [[0.782, 3.319], 0.0], [[1.127, 2.957], 0.0], [[1.111, 2.457], 0.0], [[1.0, 2.0], 8.0], [[1.498, 1.959], 0.0], [[1.989, 1.862], 0.0], [[2.0, 2.0], 2.0], [[1.912, 2.492], 0.0], [[1.716, 2.952], 0.0], [[1.624, 3.444], 0.0], [[1.496, 3.927], 0.0], [[1.5, 4.0], 1]], [[[0.0, 0.0], 1.0], [[0.417, 0.276], 0.0], [[0.752, 0.647], 0.0], [[1.0, 1.0], 2.0], [[0.619, 0.677], 0.0], [[0.69, 1.171], 0.0], [[0.85, 1.645], 0.0], [[1.0, 2.0], 2.0], [[1.414, 2.28], 0.0], [[1.127, 1.871], 0.0], [[1.111, 2.371], 0.0], [[0.94, 1.901], 0.0], [[1.334, 2.21], 0.0], [[1.442, 1.722], 0.0], [[1.635, 2.183], 0.0], [[1.316, 1.798], 0.0], [[1.549, 2.241], 0.0], [[1.643, 1.75], 0.0], [[2.028, 2.068], 0.0], [[1.673, 1.717], 0.0], [[2.102, 1.972], 0.0], [[1.648, 2.181], 0.0], [[1.164, 2.304], 0.0], [[0.667, 2.244], 0.0], [[0.924, 1.815], 0.0], [[0.988, 1.319], 0.0], [[0.83, 0.845], 0.0], [[0.512, 0.459], 0.0], [[0.206, 0.064], 0.0], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1.0], [[2.619, 0.324], 0.0], [[2.195, 0.589], 0.0], [[2.0, 1.0], 2.0], [[2.092, 0.509], 0.0], [[2.421, 0.885], 0.0], [[1.922, 0.86], 0.0], [[1.793, 0.376], 0.0], [[1.982, 0.839], 0.0], [[1.484, 0.884], 0.0], [[1.0, 1.0], 6.0], [[1.252, 1.432], 0.0], [[1.63, 1.759], 0.0], [[2.0, 2.0], 2.0], [[2.477, 1.849], 0.0], [[2.034, 1.618], 0.0], [[2.469, 1.372], 0.0], [[2.255, 0.92], 0.0], [[2.573, 0.534], 0.0], [[2.837, 0.109], 0.0], [[3.0, 0.0], 1]], [[[0.0, 4.0], 2]]]",13.89,4,2,0,2,39.218,3,0.076,41.5,83,0.048
basic_ca,7,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 2]], [[[3.0, 2.0], 9.0], [[2.0, 3.0], 1], [[3.0, 2.0], 1]], [[[1.5, 4.0], 1], [[2.0, 3.0], 7], [[1.0, 3.0], 3], [[1.0, 2.0], 8], [[2.0, 2.0], 2], [[1.5, 4.0], 1]], [[[0.0, 0.0], 1], [[1.0, 1.0], 2], [[1.0, 2.0], 2], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1], [[2.0, 1.0], 2], [[1.0, 1.0], 6], [[2.0, 2.0], 2], [[3.0, 0.0], 1]], [[[0.0, 4.0], 2]]]",13.89,0,0,0,0,19.723,0,0,21.5,14,0
,,,,,,,,,,,,,
no_ca,8,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 3], [[1.0, 3.0], 9], [[1.0, 1.0], 2], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 2], [[2.0, 1.0], 4], [[2.0, 3.0], 4], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]], [[[0.0, 0.0], 2]], [[[3.0, 0.0], 2]], [[[0.0, 4.0], 2]], [[[3.0, 4.0], 2]]]",4.35,0,0,0,0,10.828,0,0,11,8,0
pf_ca,8,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1.0], [[0.494, 2.08], 0.0], [[0.958, 1.895], 0.0], [[1.0, 2.0], 3.0], [[0.964, 2.499], 0.0], [[0.524, 2.261], 0.0], [[0.759, 2.702], 0.0], [[1.0, 3.0], 9.0], [[1.039, 2.502], 0.0], [[1.048, 2.002], 0.0], [[1.099, 1.504], 0.0], [[0.914, 1.04], 0.0], [[1.0, 1.0], 2.0], [[0.664, 1.37], 0.0], [[0.311, 1.725], 0.0], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1.0], [[2.511, 2.103], 0.0], [[2.075, 1.858], 0.0], [[2.0, 2.0], 2.0], [[2.454, 1.791], 0.0], [[2.199, 1.361], 0.0], [[2.0, 1.0], 4.0], [[2.051, 1.497], 0.0], [[2.109, 1.994], 0.0], [[2.028, 2.487], 0.0], [[2.48, 2.273], 0.0], [[2.211, 2.694], 0.0], [[2.0, 3.0], 4.0], [[2.395, 2.693], 0.0], [[2.7, 2.297], 0.0], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]], [[[0.0, 0.0], 2]], [[[3.0, 0.0], 2]], [[[0.0, 4.0], 2]], [[[3.0, 4.0], 2]]]",4.35,0,0,0,0,13.372,0,0,15,30,0
