type,id,x,y,z,value
SENSE,241,938.7768389998687,716.669653699623,1.0,2615
SENSE,242,938.7768389998687,781.8214403996606,1.0,1576
SENSE,243,938.7768389998687,846.9732270996981,1.0,6847
SENSE,244,938.7768389998687,912.1250137997356,1.0,514
SENSE,245,938.7768389998687,977.2768004997731,1.0,1570
SENSE,246,938.7768389998687,1042.4285871998106,1.0,1565
SENSE,247,938.7768389998687,1107.5803738998482,1.0,339
SENSE,248,938.7768389998687,1172.7321605998857,1.0,234
SENSE,249,938.7768389998687,1237.8839472999232,1.0,20
SENSE,250,938.7768389998687,1303.0357339999607,1.0,217
SENSE,251,938.7768389998687,1368.187520699998,1.0,20
SENSE,252,938.7768389998687,1433.3393074000355,1.0,123
SENSE,253,993.9990060001861,260.60714680015,1.0,27
SENSE,254,993.9990060001861,325.75893350018754,1.0,67
SENSE,255,993.9990060001861,390.910720200225,1.0,15
SENSE,256,993.9990060001861,456.0625069002625,1.0,30
SENSE,257,993.9990060001861,521.2142936003,1.0,371
SENSE,258,993.9990060001861,586.366080299548,1.0,234
SENSE,259,993.9990060001861,651.5178670003751,1.0,4550
SENSE,260,993.9990060001861,716.669653699623,1.0,2032
SENSE,261,993.9990060001861,781.8214403996606,1.0,2388
SENSE,262,993.9990060001861,846.9732270996981,1.0,9794
SENSE,263,993.9990060001861,912.1250137997356,1.0,3372
SENSE,264,993.9990060001861,977.2768004997731,1.0,1736
SENSE,265,993.9990060001861,1042.4285871998106,1.0,178
SENSE,266,993.9990060001861,1107.5803738998482,1.0,219
SENSE,267,993.9990060001861,1172.7321605998857,1.0,8
SENSE,268,1049.2211729997139,130.303573400075,1.0,179
SENSE,269,1049.2211729997139,195.4553601001125,1.0,3238
SENSE,270,1049.2211729997139,260.60714680015,1.0,5322
SENSE,271,1049.2211729997139,325.75893350018754,1.0,1582
SENSE,272,1049.2211729997139,390.910720200225,1.0,414
SENSE,273,1049.2211729997139,456.0625069002625,1.0,355
SENSE,274,1049.2211729997139,521.2142936003,1.0,1510
SENSE,275,1049.2211729997139,586.366080299548,1.0,2821
SENSE,276,1049.2211729997139,651.5178670003751,1.0,3157
SENSE,277,1049.2211729997139,716.669653699623,1.0,2913
SENSE,278,1049.2211729997139,781.8214403996606,1.0,1968
SENSE,279,1049.2211729997139,846.9732270996981,1.0,3827
SENSE,280,1049.2211729997139,912.1250137997356,1.0,991
SENSE,281,1049.2211729997139,977.2768004997731,1.0,1821
SENSE,282,1049.2211729997139,1042.4285871998106,1.0,11
SENSE,283,1104.4433400000314,65.1517867000375,1.0,476
SENSE,284,1104.4433400000314,130.303573400075,1.0,384
SENSE,285,1104.4433400000314,195.4553601001125,1.0,955
SENSE,286,1104.4433400000314,260.60714680015,1.0,538
SENSE,287,1104.4433400000314,325.75893350018754,1.0,1599
SENSE,288,1104.4433400000314,390.910720200225,1.0,2053
SENSE,289,1104.4433400000314,456.0625069002625,1.0,1092
SENSE,290,1104.4433400000314,521.2142936003,1.0,701
SENSE,291,1104.4433400000314,586.366080299548,1.0,563
SENSE,292,1104.4433400000314,651.5178670003751,1.0,766
SENSE,293,1104.4433400000314,716.669653699623,1.0,2924
SENSE,294,1104.4433400000314,781.8214403996606,1.0,1286
SENSE,295,1104.4433400000314,846.9732270996981,1.0,1738
SENSE,296,1104.4433400000314,912.1250137997356,1.0,2804
SENSE,297,1104.4433400000314,977.2768004997731,1.0,819
SENSE,298,1104.4433400000314,1042.4285871998106,1.0,89
SENSE,299,1159.6655070003487,65.1517867000375,1.0,143
SENSE,300,1159.6655070003487,130.303573400075,1.0,288
SENSE,301,1159.6655070003487,195.4553601001125,1.0,328
SENSE,302,1159.6655070003487,260.60714680015,1.0,499
SENSE,303,1159.6655070003487,325.75893350018754,1.0,545
SENSE,304,1159.6655070003487,390.910720200225,1.0,2430
SENSE,305,1159.6655070003487,456.0625069002625,1.0,1014
SENSE,306,1159.6655070003487,521.2142936003,1.0,1110
SENSE,307,1159.6655070003487,586.366080299548,1.0,1673
SENSE,308,1159.6655070003487,651.5178670003751,1.0,1566
SENSE,309,1159.6655070003487,716.669653699623,1.0,2477
SENSE,310,1159.6655070003487,781.8214403996606,1.0,1561
SENSE,311,1159.6655070003487,846.9732270996981,1.0,1942
SENSE,312,1159.6655070003487,912.1250137997356,1.0,5390
SENSE,313,1159.6655070003487,977.2768004997731,1.0,1225
SENSE,314,1159.6655070003487,1042.4285871998106,1.0,34
SENSE,315,1214.8876739998766,65.1517867000375,1.0,465
SENSE,316,1214.8876739998766,130.303573400075,1.0,883
SENSE,317,1214.8876739998766,195.4553601001125,1.0,683
SENSE,318,1214.8876739998766,260.60714680015,1.0,1388
SENSE,319,1214.8876739998766,325.75893350018754,1.0,2984
SENSE,320,1214.8876739998766,390.910720200225,1.0,1251
SENSE,321,1214.8876739998766,456.0625069002625,1.0,243
SENSE,322,1214.8876739998766,521.2142936003,1.0,524
SENSE,323,1214.8876739998766,586.366080299548,1.0,3491
SENSE,324,1214.8876739998766,651.5178670003751,1.0,3318
SENSE,325,1214.8876739998766,716.669653699623,1.0,1983
SENSE,326,1214.8876739998766,781.8214403996606,1.0,887
SENSE,327,1214.8876739998766,846.9732270996981,1.0,898
SENSE,328,1214.8876739998766,912.1250137997356,1.0,5897
SENSE,329,1214.8876739998766,977.2768004997731,1.0,1352
SENSE,330,1214.8876739998766,1042.4285871998106,1.0,57
SENSE,331,1270.109841000194,65.1517867000375,1.0,11
SENSE,332,1270.109841000194,130.303573400075,1.0,18
SENSE,333,1270.109841000194,195.4553601001125,1.0,311
SENSE,334,1270.109841000194,260.60714680015,1.0,3073
SENSE,335,1270.109841000194,325.75893350018754,1.0,106
SENSE,336,1270.109841000194,390.910720200225,1.0,463
SENSE,337,1270.109841000194,456.0625069002625,1.0,162
SENSE,338,1270.109841000194,521.2142936003,1.0,58
SENSE,339,1270.109841000194,586.366080299548,1.0,63
SENSE,340,1270.109841000194,651.5178670003751,1.0,114
SENSE,341,1270.109841000194,716.669653699623,1.0,1265
SENSE,342,1270.109841000194,781.8214403996606,1.0,3057
SENSE,343,1270.109841000194,846.9732270996981,1.0,2665
SENSE,344,1270.109841000194,912.1250137997356,1.0,7325
SENSE,345,1270.109841000194,977.2768004997731,1.0,3490
SENSE,346,1270.109841000194,1042.4285871998106,1.0,167
SENSE,347,1325.3320079997218,716.669653699623,1.0,93
SENSE,348,1325.3320079997218,781.8214403996606,1.0,2353
SENSE,349,1325.3320079997218,846.9732270996981,1.0,3396
SENSE,350,1325.3320079997218,912.1250137997356,1.0,3254
SENSE,351,1325.3320079997218,977.2768004997731,1.0,8236
SENSE,352,1325.3320079997218,1042.4285871998106,1.0,319
SENSE,353,1325.3320079997218,1107.5803738998482,1.0,1
SENSE,354,1380.554175000039,716.669653699623,1.0,3
SENSE,355,1380.554175000039,781.8214403996606,1.0,1647
SENSE,356,1380.554175000039,846.9732270996981,1.0,872
SENSE,357,1380.554175000039,912.1250137997356,1.0,1764
SENSE,358,1380.554175000039,977.2768004997731,1.0,5036
SENSE,359,1380.554175000039,1042.4285871998106,1.0,757
SENSE,360,1380.554175000039,1107.5803738998482,1.0,1374
SENSE,361,1380.554175000039,1172.7321605998857,1.0,117
SENSE,362,1380.554175000039,1237.8839472999232,1.0,133
SENSE,363,1380.554175000039,1303.0357339999607,1.0,134
SENSE,364,1380.554175000039,1368.187520699998,1.0,1496
SENSE,365,1380.554175000039,1433.3393074000355,1.0,156
SENSE,366,1380.554175000039,1498.491094100073,1.0,58
SENSE,367,1435.7763419999617,716.669653699623,1.0,155
SENSE,368,1435.7763419999617,781.8214403996606,1.0,2155
