Strategy,n_drones,Plan,plan overflow,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Total Hover Duration,Number of Flights,Average Collisions per Flight
basic_ca,4,"[[[[-0.8299, -0.47], 32.25], [[-0.5533, 0.235], 4], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 1], [[-0.5533, 0.235], 4], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 1], [[0.5533, 0.235], 1], [[-0.5533, 0.235], 4], [[0.8299, 0.47], 1]], [[[-0.8299, 0.47], 1], [[-0.5533, 0.235], 4], [[0.5533, 0.235], 25.5], [[-0.8299, 0.47], 1]]]",,177.08,5,1,0,4,12.578,1.5,0.119,14.5,83.75,12,0.417
,,,,,,,,,,,,,,,
no_ca,1,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 8], [[-0.5533, 0.235], 5], [[0.0, 0.235], 5], [[0.0, -0.235], 5], [[0.5533, 0.235], 5], [[-0.8299, -0.47], 1]]]",,31.71,0,0,0,0,4.135,0,0,4.75,30,6,0
pf_ca,1,"[[[[-0.83, -0.47], 1.0], [[-0.641, -0.306], 0.0], [[-0.553, -0.235], 8.0], [[-0.531, 0.014], 0.0], [[-0.553, 0.235], 5.0], [[-0.303, 0.226], 0.0], [[-0.07, 0.316], 0.0], [[0.0, 0.235], 5.0], [[0.003, -0.015], 0.0], [[0.0, -0.235], 5.0], [[0.181, -0.063], 0.0], [[0.399, 0.06], 0.0], [[0.553, 0.235], 5.0], [[0.319, 0.147], 0.0], [[0.118, -0.002], 0.0], [[-0.098, -0.127], 0.0], [[-0.325, -0.232], 0.0], [[-0.562, -0.312], 0.0], [[-0.757, -0.469], 0.0], [[-0.83, -0.47], 1]]]",,31.71,0,0,0,0,4.219,0,0,4.75,30,19,0
basic_ca,1,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 8], [[-0.5533, 0.235], 5], [[0.0, 0.235], 5], [[0.0, -0.235], 5], [[0.5533, 0.235], 5], [[-0.8299, -0.47], 1]]]",,31.71,0,0,0,0,4.135,0,0,4.75,30,6,0
,,,,,,,,,,,,,,,
no_ca,2,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 6], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 1], [[0.0, -0.235], 4], [[0.8299, -0.47], 1]]]",,36.36,1,0,0,1,6.183,0.25,0.04,7,18,8,0.125
pf_ca,2,"[[[[-0.83, -0.47], 1.0], [[-0.632, -0.317], 0.0], [[-0.553, -0.235], 1.0], [[-0.365, -0.071], 0.0], [[-0.159, 0.072], 0.0], [[0.0, 0.235], 1.0], [[-0.003, -0.015], 0.0], [[0.0, -0.235], 6.0], [[0.205, -0.092], 0.0], [[0.401, 0.063], 0.0], [[0.553, 0.235], 1.0], [[0.306, 0.199], 0.0], [[0.25, 0.443], 0.0], [[0.044, 0.585], 0.0], [[-0.2, 0.531], 0.0], [[-0.323, 0.313], 0.0], [[-0.573, 0.319], 0.0], [[-0.759, 0.152], 0.0], [[-0.908, -0.048], 0.0], [[-0.885, -0.297], 0.0], [[-0.83, -0.47], 1]], [[[0.83, -0.47], 1.0], [[0.679, -0.27], 0.0], [[0.616, -0.029], 0.0], [[0.546, 0.211], 0.0], [[0.553, 0.235], 1.0], [[0.642, 0.001], 0.0], [[0.659, -0.248], 0.0], [[0.476, -0.418], 0.0], [[0.23, -0.465], 0.0], [[-0.001, -0.561], 0.0], [[-0.249, -0.588], 0.0], [[-0.435, -0.755], 0.0], [[-0.342, -0.523], 0.0], [[-0.541, -0.675], 0.0], [[-0.315, -0.567], 0.0], [[-0.186, -0.782], 0.0], [[-0.294, -1.007], 0.0], [[-0.224, -0.767], 0.0], [[-0.291, -1.008], 0.0], [[-0.189, -0.779], 0.0], [[-0.337, -0.578], 0.0], [[-0.57, -0.666], 0.0], [[-0.329, -0.601], 0.0], [[-0.413, -0.836], 0.0], [[-0.269, -0.632], 0.0], [[-0.394, -0.848], 0.0], [[-0.301, -0.617], 0.0], [[-0.551, -0.609], 0.0], [[-0.438, -0.386], 0.0], [[-0.608, -0.569], 0.0], [[-0.85, -0.505], 0.0], [[-0.602, -0.538], 0.0], [[-0.451, -0.339], 0.0], [[-0.697, -0.296], 0.0], [[-0.461, -0.378], 0.0], [[-0.598, -0.587], 0.0], [[-0.413, -0.418], 0.0], [[-0.183, -0.321], 0.0], [[0.0, -0.235], 4.0], [[0.25, -0.231], 0.0], [[0.481, -0.326], 0.0], [[0.713, -0.42], 0.0], [[0.83, -0.47], 1]]]",,36.36,0,0,0,0,14.825,0,0,15.5,18,62,0
basic_ca,2,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 1], [[0.0, 0.235], 4.5], [[0.0, -0.235], 6], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 1], [[0.0, -0.235], 4], [[0.8299, -0.47], 1]]]",,43.18,0,0,0,0,6.183,0,0,7,21.5,8,0
,,,,,,,,,,,,,,,
no_ca,3,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 4], [[-0.5533, 0.235], 3], [[0.0, 0.235], 6], [[0.0, -0.235], 1], [[0.5533, 0.235], 4], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 2], [[0.0, 0.235], 2], [[-0.5533, -0.235], 1], [[-0.5533, 0.235], 1], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 1], [[0.5533, 0.235], 2], [[0.0, 0.235], 3], [[-0.5533, -0.235], 2], [[-0.5533, 0.235], 2], [[0.8299, 0.47], 1]]]",,27.91,5,1,0,4,11.709,1.5,0.128,13.5,39,16,0.312
pf_ca,3,"[[[[-0.83, -0.47], 1.0], [[-0.62, -0.334], 0.0], [[-0.553, -0.235], 4.0], [[-0.743, -0.072], 0.0], [[-0.763, 0.177], 0.0], [[-0.553, 0.235], 3.0], [[-0.488, 0.476], 0.0], [[-0.472, 0.726], 0.0], [[-0.405, 0.485], 0.0], [[-0.387, 0.734], 0.0], [[-0.462, 0.495], 0.0], [[-0.523, 0.738], 0.0], [[-0.283, 0.667], 0.0], [[-0.28, 0.917], 0.0], [[-0.04, 0.847], 0.0], [[-0.011, 0.599], 0.0], [[0.235, 0.642], 0.0], [[0.058, 0.466], 0.0], [[0.0, 0.235], 6.0], [[0.186, 0.068], 0.0], [[0.079, -0.158], 0.0], [[0.0, -0.235], 1.0], [[-0.034, 0.013], 0.0], [[0.183, -0.111], 0.0], [[0.17, 0.139], 0.0], [[0.312, 0.344], 0.0], [[0.112, 0.194], 0.0], [[0.259, 0.396], 0.0], [[0.109, 0.196], 0.0], [[-0.024, 0.408], 0.0], [[0.056, 0.171], 0.0], [[0.228, 0.353], 0.0], [[-0.019, 0.389], 0.0], [[0.023, 0.143], 0.0], [[0.167, 0.348], 0.0], [[-0.082, 0.374], 0.0], [[0.167, 0.35], 0.0], [[-0.081, 0.317], 0.0], [[0.169, 0.325], 0.0], [[-0.081, 0.323], 0.0], [[0.168, 0.345], 0.0], [[-0.08, 0.372], 0.0], [[0.162, 0.313], 0.0], [[-0.087, 0.302], 0.0], [[0.159, 0.262], 0.0], [[-0.065, 0.371], 0.0], [[0.098, 0.182], 0.0], [[-0.018, 0.403], 0.0], [[0.105, 0.186], 0.0], [[-0.092, 0.339], 0.0], [[0.155, 0.301], 0.0], [[-0.07, 0.411], 0.0], [[0.031, 0.183], 0.0], [[0.222, 0.344], 0.0], [[-0.009, 0.25], 0.0], [[0.122, 0.037], 0.0], [[-0.04, 0.227], 0.0], [[0.174, 0.356], 0.0], [[-0.052, 0.462], 0.0], [[-0.027, 0.214], 0.0], [[0.183, 0.349], 0.0], [[-0.012, 0.506], 0.0], [[-0.003, 0.256], 0.0], [[0.193, 0.1], 0.0], [[0.095, 0.33], 0.0], [[-0.13, 0.44], 0.0], [[0.118, 0.405], 0.0], [[0.138, 0.156], 0.0], [[-0.025, 0.345], 0.0], [[0.071, 0.114], 0.0], [[0.265, 0.273], 0.0], [[0.016, 0.246], 0.0], [[0.184, 0.061], 0.0], [[0.006, 0.236], 0.0], [[0.235, 0.136], 0.0], [[0.106, 0.35], 0.0], [[-0.128, 0.439], 0.0], [[0.102, 0.342], 0.0], [[-0.146, 0.316], 0.0], [[0.103, 0.295], 0.0], [[-0.14, 0.356], 0.0], [[0.104, 0.302], 0.0], [[-0.136, 0.371], 0.0], [[0.114, 0.368], 0.0], [[-0.048, 0.558], 0.0], [[-0.004, 0.312], 0.0], [[0.206, 0.176], 0.0], [[0.045, 0.367], 0.0], [[0.169, 0.15], 0.0], [[-0.08, 0.128], 0.0], [[0.169, 0.153], 0.0], [[0.022, 0.355], 0.0], [[0.122, 0.126], 0.0], [[-0.031, 0.323], 0.0], [[0.186, 0.2], 0.0], [[0.05, 0.41], 0.0], [[0.133, 0.174], 0.0], [[0.086, 0.42], 0.0], [[0.079, 0.17], 0.0], [[-0.005, 0.405], 0.0], [[0.167, 0.224], 0.0], [[-0.04, 0.364], 0.0], [[0.131, 0.182], 0.0], [[0.033, 0.412], 0.0], [[0.052, 0.163], 0.0], [[0.226, 0.342], 0.0], [[0.02, 0.483], 0.0], [[0.042, 0.234], 0.0], [[0.129, -0.0], 0.0], [[0.035, 0.232], 0.0], [[0.231, 0.076], 0.0], [[0.134, 0.307], 0.0], [[-0.116, 0.313], 0.0], [[0.133, 0.29], 0.0], [[-0.116, 0.308], 0.0], [[0.134, 0.313], 0.0], [[-0.111, 0.26], 0.0], [[0.137, 0.228], 0.0], [[0.031, 0.454], 0.0], [[0.123, 0.222], 0.0], [[0.115, 0.472], 0.0], [[0.167, 0.227], 0.0], [[-0.017, 0.396], 0.0], [[0.062, 0.159], 0.0], [[0.226, 0.348], 0.0], [[-0.02, 0.392], 0.0], [[-0.011, 0.142], 0.0], [[0.142, 0.34], 0.0], [[-0.108, 0.344], 0.0], [[0.142, 0.335], 0.0], [[-0.095, 0.416], 0.0], [[0.141, 0.334], 0.0], [[-0.108, 0.349], 0.0], [[0.138, 0.308], 0.0], [[-0.098, 0.226], 0.0], [[0.149, 0.264], 0.0], [[-0.1, 0.246], 0.0], [[0.149, 0.234], 0.0], [[-0.094, 0.29], 0.0], [[0.155, 0.274], 0.0], [[-0.094, 0.292], 0.0], [[0.154, 0.264], 0.0], [[-0.02, 0.443], 0.0], [[0.041, 0.201], 0.0], [[0.209, 0.386], 0.0], [[0.097, 0.162], 0.0], [[-0.097, 0.32], 0.0], [[0.149, 0.277], 0.0], [[-0.098, 0.237], 0.0], [[0.149, 0.195], 0.0], [[0.059, 0.428], 0.0], [[0.218, 0.235], 0.0], [[0.001, 0.36], 0.0], [[0.107, 0.133], 0.0], [[0.001, 0.359], 0.0], [[0.222, 0.242], 0.0], [[-0.028, 0.222], 0.0], [[0.161, 0.386], 0.0], [[0.24, 0.149], 0.0], [[0.083, 0.343], 0.0], [[0.031, 0.588], 0.0], [[0.01, 0.339], 0.0], [[0.223, 0.208], 0.0], [[0.012, 0.343], 0.0], [[0.244, 0.248], 0.0], [[0.021, 0.135], 0.0], [[0.197, 0.312], 0.0], [[-0.02, 0.435], 0.0], [[0.12, 0.228], 0.0], [[0.009, 0.452], 0.0], [[0.097, 0.218], 0.0], [[-0.133, 0.317], 0.0], [[0.115, 0.279], 0.0], [[-0.133, 0.316], 0.0], [[0.117, 0.304], 0.0], [[-0.131, 0.338], 0.0], [[0.115, 0.292], 0.0], [[-0.111, 0.184], 0.0], [[0.136, 0.227], 0.0], [[0.02, 0.449], 0.0], [[0.125, 0.221], 0.0], [[-0.07, 0.379], 0.0], [[0.124, 0.221], 0.0], [[-0.123, 0.185], 0.0], [[0.127, 0.187], 0.0], [[-0.098, 0.296], 0.0], [[0.152, 0.283], 0.0], [[-0.046, 0.436], 0.0], [[-0.028, 0.187], 0.0], [[0.167, 0.343], 0.0], [[-0.075, 0.406], 0.0], [[0.161, 0.322], 0.0], [[-0.075, 0.407], 0.0], [[0.156, 0.31], 0.0], [[-0.094, 0.316], 0.0], [[0.15, 0.263], 0.0], [[-0.096, 0.221], 0.0], [[0.153, 0.238], 0.0], [[-0.051, 0.382], 0.0], [[0.069, 0.162], 0.0], [[0.28, 0.296], 0.0], [[0.063, 0.171], 0.0], [[0.237, 0.351], 0.0], [[-0.002, 0.278], 0.0], [[0.18, 0.106], 0.0], [[0.104, 0.344], 0.0], [[-0.129, 0.437], 0.0], [[0.116, 0.385], 0.0], [[0.132, 0.135], 0.0], [[-0.093, 0.243], 0.0], [[0.156, 0.252], 0.0], [[-0.092, 0.281], 0.0], [[0.157, 0.263], 0.0], [[-0.087, 0.314], 0.0], [[0.161, 0.287], 0.0], [[-0.086, 0.322], 0.0], [[0.163, 0.302], 0.0], [[-0.068, 0.207], 0.0], [[0.073, 0.413], 0.0], [[0.214, 0.206], 0.0], [[0.154, 0.449], 0.0], [[0.116, 0.202], 0.0], [[0.015, 0.431], 0.0], [[0.101, 0.196], 0.0], [[-0.122, 0.31], 0.0], [[0.119, 0.243], 0.0], [[-0.13, 0.259], 0.0], [[0.116, 0.217], 0.0], [[-0.011, 0.433], 0.0], [[0.13, 0.226], 0.0], [[-0.037, 0.413], 0.0], [[0.039, 0.174], 0.0], [[0.231, 0.334], 0.0], [[-0.002, 0.244], 0.0], [[0.173, 0.065], 0.0], [[0.006, 0.251], 0.0], [[0.178, 0.069], 0.0], [[0.021, 0.264], 0.0], [[0.194, 0.084], 0.0], [[0.065, 0.298], 0.0], [[0.229, 0.109], 0.0], [[0.041, 0.274], 0.0], [[0.238, 0.12], 0.0], [[0.021, 0.243], 0.0], [[0.212, 0.083], 0.0], [[0.151, 0.325], 0.0], [[-0.097, 0.291], 0.0], [[0.147, 0.238], 0.0], [[-0.085, 0.33], 0.0], [[0.163, 0.302], 0.0], [[-0.07, 0.392], 0.0], [[0.072, 0.186], 0.0], [[0.279, 0.326], 0.0], [[0.031, 0.299], 0.0], [[0.243, 0.167], 0.0], [[0.057, 0.334], 0.0], [[0.25, 0.175], 0.0], [[0.118, 0.388], 0.0], [[-0.01, 0.173], 0.0], [[0.166, 0.351], 0.0], [[-0.064, 0.45], 0.0], [[0.073, 0.241], 0.0], [[0.11, -0.006], 0.0], [[-0.032, 0.2], 0.0], [[0.151, 0.37], 0.0], [[-0.036, 0.535], 0.0], [[-0.032, 0.285], 0.0], [[0.214, 0.241], 0.0], [[0.009, 0.383], 0.0], [[0.141, 0.171], 0.0], [[-0.058, 0.322], 0.0], [[0.167, 0.214], 0.0], [[-0.055, 0.329], 0.0], [[0.102, 0.134], 0.0], [[-0.05, 0.333], 0.0], [[0.081, 0.119], 0.0], [[-0.065, 0.323], 0.0], [[0.092, 0.128], 0.0], [[-0.06, 0.327], 0.0], [[0.112, 0.145], 0.0], [[-0.099, 0.279], 0.0], [[0.147, 0.232], 0.0], [[-0.05, 0.386], 0.0], [[0.049, 0.157], 0.0], [[0.251, 0.305], 0.0], [[0.006, 0.251], 0.0], [[0.177, 0.068], 0.0], [[0.029, 0.27], 0.0], [[0.236, 0.13], 0.0], [[0.084, 0.328], 0.0], [[-0.102, 0.495], 0.0], [[0.134, 0.412], 0.0], [[0.062, 0.172], 0.0], [[0.241, 0.346], 0.0], [[0.004, 0.267], 0.0], [[0.223, 0.145], 0.0], [[0.094, 0.359], 0.0], [[-0.146, 0.428], 0.0], [[0.095, 0.361], 0.0], [[-0.154, 0.336], 0.0], [[0.088, 0.273], 0.0], [[-0.162, 0.26], 0.0], [[0.083, 0.207], 0.0], [[-0.042, 0.424], 0.0], [[0.042, 0.188], 0.0], [[0.217, 0.366], 0.0], [[-0.032, 0.344], 0.0], [[0.178, 0.208], 0.0], [[0.021, 0.402], 0.0], [[0.067, 0.157], 0.0], [[0.249, 0.329], 0.0], [[-0.0, 0.306], 0.0], [[0.184, 0.137], 0.0], [[0.045, 0.345], 0.0], [[0.235, 0.182], 0.0], [[0.163, 0.421], 0.0], [[0.209, 0.176], 0.0], [[0.001, 0.315], 0.0], [[0.208, 0.175], 0.0], [[0.112, 0.406], 0.0], [[0.096, 0.156], 0.0], [[-0.034, 0.369], 0.0], [[0.177, 0.236], 0.0], [[-0.069, 0.277], 0.0], [[0.051, 0.058], 0.0], [[0.184, 0.27], 0.0], [[-0.062, 0.316], 0.0], [[0.091, 0.118], 0.0], [[0.046, 0.364], 0.0], [[0.141, 0.133], 0.0], [[0.08, 0.375], 0.0], [[-0.113, 0.216], 0.0], [[0.137, 0.234], 0.0], [[-0.095, 0.139], 0.0], [[0.15, 0.189], 0.0], [[-0.03, 0.363], 0.0], [[0.1, 0.149], 0.0], [[-0.128, 0.251], 0.0], [[0.119, 0.219], 0.0], [[0.01, 0.444], 0.0], [[0.078, 0.203], 0.0], [[0.23, 0.402], 0.0], [[-0.004, 0.314], 0.0], [[0.105, 0.089], 0.0], [[-0.123, 0.192], 0.0], [[0.127, 0.199], 0.0], [[-0.023, 0.4], 0.0], [[0.029, 0.155], 0.0], [[0.253, 0.266], 0.0], [[0.007, 0.311], 0.0], [[0.129, 0.093], 0.0], [[0.038, 0.326], 0.0], [[0.277, 0.255], 0.0], [[0.037, 0.185], 0.0], [[0.233, 0.341], 0.0], [[-0.01, 0.283], 0.0], [[0.119, 0.07], 0.0], [[-0.031, 0.27], 0.0], [[0.117, 0.068], 0.0], [[0.024, 0.3], 0.0], [[0.268, 0.245], 0.0], [[0.068, 0.095], 0.0], [[0.257, 0.259], 0.0], [[0.009, 0.225], 0.0], [[0.193, 0.394], 0.0], [[0.241, 0.149], 0.0], [[0.026, 0.275], 0.0], [[0.229, 0.13], 0.0], [[0.077, 0.328], 0.0], [[0.254, 0.151], 0.0], [[0.044, 0.288], 0.0], [[0.273, 0.187], 0.0], [[0.083, 0.35], 0.0], [[-0.13, 0.481], 0.0], [[0.117, 0.437], 0.0], [[0.103, 0.188], 0.0], [[-0.014, 0.409], 0.0], [[0.033, 0.163], 0.0], [[0.175, 0.369], 0.0], [[-0.05, 0.478], 0.0], [[0.129, 0.303], 0.0], [[-0.083, 0.435], 0.0], [[0.156, 0.365], 0.0], [[-0.078, 0.451], 0.0], [[0.171, 0.438], 0.0], [[0.227, 0.194], 0.0], [[0.09, 0.403], 0.0], [[-0.007, 0.173], 0.0], [[0.171, 0.348], 0.0], [[-0.076, 0.384], 0.0], [[0.162, 0.308], 0.0], [[-0.071, 0.398], 0.0], [[0.143, 0.269], 0.0], [[-0.092, 0.354], 0.0], [[0.149, 0.287], 0.0], [[-0.09, 0.36], 0.0], [[0.151, 0.293], 0.0], [[-0.098, 0.266], 0.0], [[0.133, 0.17], 0.0], [[-0.058, 0.332], 0.0], [[0.101, 0.139], 0.0], [[-0.045, 0.341], 0.0], [[0.051, 0.111], 0.0], [[0.237, 0.277], 0.0], [[-0.012, 0.297], 0.0], [[0.186, 0.144], 0.0], [[-0.006, 0.304], 0.0], [[0.135, 0.097], 0.0], [[-0.06, 0.254], 0.0], [[0.118, 0.078], 0.0], [[0.044, 0.317], 0.0], [[0.27, 0.211], 0.0], [[0.085, 0.379], 0.0], [[0.077, 0.129], 0.0], [[0.29, 0.26], 0.0], [[0.042, 0.226], 0.0], [[0.272, 0.324], 0.0], [[0.04, 0.231], 0.0], [[0.138, 0.001], 0.0], [[0.004, 0.212], 0.0], [[0.177, 0.393], 0.0], [[0.087, 0.16], 0.0], [[-0.028, 0.382], 0.0], [[0.069, 0.151], 0.0], [[0.238, 0.335], 0.0], [[-0.012, 0.324], 0.0], [[0.149, 0.133], 0.0], [[-0.035, 0.302], 0.0], [[0.13, 0.114], 0.0], [[-0.099, 0.213], 0.0], [[0.15, 0.23], 0.0], [[-0.095, 0.18], 0.0], [[0.155, 0.193], 0.0], [[0.061, 0.425], 0.0], [[0.077, 0.176], 0.0], [[0.254, 0.353], 0.0], [[0.007, 0.309], 0.0], [[0.135, 0.094], 0.0], [[0.074, 0.337], 0.0], [[0.232, 0.143], 0.0], [[0.031, 0.292], 0.0], [[0.198, 0.106], 0.0], [[0.037, 0.297], 0.0], [[0.236, 0.145], 0.0], [[0.023, 0.276], 0.0], [[0.269, 0.232], 0.0], [[0.031, 0.156], 0.0], [[0.201, 0.339], 0.0], [[0.099, 0.567], 0.0], [[-0.012, 0.344], 0.0], [[0.215, 0.239], 0.0], [[-0.014, 0.34], 0.0], [[0.046, 0.097], 0.0], [[0.25, 0.241], 0.0], [[-0.0, 0.236], 0.0], [[0.149, 0.036], 0.0], [[-0.004, 0.234], 0.0], [[0.213, 0.11], 0.0], [[0.03, 0.28], 0.0], [[0.256, 0.173], 0.0], [[0.044, 0.305], 0.0], [[0.24, 0.15], 0.0], [[0.042, 0.303], 0.0], [[0.272, 0.205], 0.0], [[0.177, 0.436], 0.0], [[0.197, 0.187], 0.0], [[0.067, 0.4], 0.0], [[0.166, 0.171], 0.0], [[0.008, 0.364], 0.0], [[0.231, 0.251], 0.0], [[0.067, 0.062], 0.0], [[0.159, 0.294], 0.0], [[-0.086, 0.247], 0.0], [[0.156, 0.188], 0.0], [[-0.018, 0.367], 0.0], [[0.218, 0.284], 0.0], [[0.027, 0.122], 0.0], [[0.242, 0.249], 0.0], [[-0.005, 0.21], 0.0], [[0.159, 0.399], 0.0], [[0.08, 0.162], 0.0], [[-0.047, 0.377], 0.0], [[0.154, 0.229], 0.0], [[-0.09, 0.178], 0.0], [[0.159, 0.194], 0.0], [[0.024, 0.405], 0.0], [[0.099, 0.166], 0.0], [[-0.023, 0.385], 0.0], [[0.067, 0.151], 0.0], [[0.275, 0.29], 0.0], [[0.026, 0.263], 0.0], [[0.153, 0.048], 0.0], [[-0.007, 0.239], 0.0], [[0.196, 0.094], 0.0], [[0.023, 0.275], 0.0], [[0.227, 0.129], 0.0], [[0.049, 0.305], 0.0], [[0.159, 0.081], 0.0], [[0.035, 0.298], 0.0], [[0.201, 0.111], 0.0], [[0.011, 0.273], 0.0], [[0.148, 0.064], 0.0], [[0.007, 0.271], 0.0], [[0.09, 0.035], 0.0], [[-0.061, 0.234], 0.0], [[0.119, 0.061], 0.0], [[-0.011, 0.275], 0.0], [[0.037, 0.029], 0.0], [[0.128, 0.262], 0.0], [[-0.086, 0.391], 0.0], [[0.139, 0.281], 0.0], [[-0.11, 0.3], 0.0], [[0.13, 0.232], 0.0], [[-0.111, 0.297], 0.0], [[0.133, 0.244], 0.0], [[-0.043, 0.421], 0.0], [[0.151, 0.264], 0.0], [[-0.085, 0.182], 0.0], [[0.165, 0.191], 0.0], [[-0.024, 0.355], 0.0], [[0.216, 0.284], 0.0], [[0.001, 0.411], 0.0], [[0.024, 0.162], 0.0], [[0.197, 0.342], 0.0], [[-0.044, 0.276], 0.0], [[0.161, 0.132], 0.0], [[0.018, 0.337], 0.0], [[0.166, 0.136], 0.0], [[0.015, 0.335], 0.0], [[0.199, 0.166], 0.0], [[0.02, 0.341], 0.0], [[0.247, 0.236], 0.0], [[0.001, 0.193], 0.0], [[0.156, 0.388], 0.0], [[0.116, 0.142], 0.0], [[-0.069, 0.31], 0.0], [[0.08, 0.109], 0.0], [[-0.015, 0.34], 0.0], [[0.173, 0.175], 0.0], [[0.015, 0.369], 0.0], [[0.212, 0.216], 0.0], [[0.073, 0.423], 1]], [[[0.83, -0.47], 1.0], [[0.712, -0.25], 0.0], [[0.605, -0.024], 0.0], [[0.845, 0.047], 0.0], [[0.618, -0.058], 0.0], [[0.801, -0.229], 0.0], [[0.834, 0.019], 0.0], [[1.053, -0.101], 0.0], [[0.849, -0.246], 0.0], [[0.786, -0.004], 0.0], [[0.935, -0.205], 0.0], [[0.858, 0.033], 0.0], [[1.071, -0.098], 0.0], [[0.824, -0.139], 0.0], [[1.052, -0.241], 0.0], [[0.866, -0.074], 0.0], [[0.691, 0.104], 0.0], [[0.553, 0.235], 2.0], [[0.798, 0.286], 0.0], [[0.549, 0.302], 0.0], [[0.798, 0.292], 0.0], [[0.557, 0.227], 0.0], [[0.769, 0.359], 0.0], [[0.521, 0.332], 0.0], [[0.296, 0.222], 0.0], [[0.094, 0.369], 0.0], [[0.0, 0.235], 2.0], [[-0.05, -0.01], 0.0], [[-0.207, -0.204], 0.0], [[-0.322, -0.427], 0.0], [[-0.572, -0.429], 0.0], [[-0.553, -0.235], 1.0], [[-0.714, -0.043], 0.0], [[-0.828, 0.179], 0.0], [[-0.74, -0.055], 0.0], [[-0.765, 0.194], 0.0], [[-0.553, 0.235], 1.0], [[-0.426, 0.02], 0.0], [[-0.351, -0.219], 0.0], [[-0.247, -0.446], 0.0], [[-0.064, -0.616], 0.0], [[0.153, -0.741], 0.0], [[0.403, -0.745], 0.0], [[0.647, -0.692], 0.0], [[0.87, -0.578], 0.0], [[0.83, -0.47], 1]], [[[0.83, 0.47], 1.0], [[0.593, 0.551], 0.0], [[0.344, 0.531], 0.0], [[0.591, 0.573], 0.0], [[0.531, 0.33], 0.0], [[0.553, 0.235], 2.0], [[0.31, 0.292], 0.0], [[0.075, 0.377], 0.0], [[0.0, 0.235], 3.0], [[-0.21, 0.099], 0.0], [[-0.225, -0.15], 0.0], [[-0.335, -0.375], 0.0], [[-0.569, -0.463], 0.0], [[-0.553, -0.235], 2.0], [[-0.78, -0.13], 0.0], [[-0.984, 0.015], 0.0], [[-0.909, 0.253], 0.0], [[-0.825, 0.488], 0.0], [[-0.654, 0.671], 0.0], [[-0.9, 0.717], 0.0], [[-0.848, 0.472], 0.0], [[-0.933, 0.708], 0.0], [[-0.869, 0.466], 0.0], [[-0.962, 0.698], 0.0], [[-1.083, 0.917], 0.0], [[-0.854, 0.817], 0.0], [[-0.869, 1.067], 0.0], [[-0.684, 0.899], 0.0], [[-0.914, 0.997], 0.0], [[-0.982, 0.756], 0.0], [[-1.229, 0.793], 0.0], [[-1.065, 0.605], 0.0], [[-1.289, 0.716], 0.0], [[-1.088, 0.567], 0.0], [[-0.928, 0.375], 0.0], [[-0.949, 0.624], 0.0], [[-0.905, 0.378], 0.0], [[-0.655, 0.361], 0.0], [[-0.553, 0.235], 2.0], [[-0.408, 0.439], 0.0], [[-0.185, 0.55], 0.0], [[0.049, 0.64], 0.0], [[0.262, 0.771], 0.0], [[0.511, 0.796], 0.0], [[0.76, 0.805], 0.0], [[0.975, 0.677], 0.0], [[1.22, 0.728], 0.0], [[1.035, 0.56], 0.0], [[0.83, 0.47], 1]]]",,37.21,0,0,0,0,157.437,0,0,158.75,35,634,0
basic_ca,3,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 4], [[-0.5533, 0.235], 3.5], [[-0.053299999999999986, 0.609999999925], 0], [[0.0, 0.235], 6], [[0.0, -0.235], 1], [[0.5533, 0.235], 4], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 3.0], [[0.5533, 0.235], 3.0], [[0.0, 0.235], 2.5], [[-0.5533, -0.235], 1.5], [[-0.5533, 0.235], 1], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 1], [[0.5533, 0.235], 2], [[0.0, 0.235], 3], [[-0.5533, -0.235], 2], [[-0.5533, 0.235], 2], [[0.8299, 0.47], 1]]]",,33.72,0,0,0,0,12.16,0,0,14,43.5,17,0
,,,,,,,,,,,,,,,
