Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel_Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Number of Flights,Average Collisions per Flight
pf_ca,3,"[[[[-0.83, -0.47], 1.0], [[-0.553, -0.235], 10.0], [[-0.553, 0.235], 2.0], [[-0.073, 0.374], 0.0], [[0.0, 0.235], 1.0], [[0.0, -0.235], 10.0], [[-0.418, 0.04], 0.0], [[0.029, 0.265], 0.0], [[-0.441, 0.093], 0.0], [[0.036, 0.245], 0.0], [[-0.453, 0.141], 0.0], [[0.046, 0.162], 0.0], [[-0.43, 0.008], 0.0], [[0.051, 0.145], 0.0], [[-0.438, 0.043], 0.0], [[0.029, 0.221], 0.0], [[-0.457, 0.105], 0.0], [[0.043, 0.116], 0.0], [[-0.423, -0.065], 0.0], [[0.062, 0.056], 0.0], [[-0.436, 0.107], 0.0], [[0.063, 0.075], 0.0], [[-0.433, 0.134], 0.0], [[0.066, 0.157], 0.0], [[0.553, 0.235], 1.0], [[0.062, 0.142], 0.0], [[-0.438, 0.131], 0.0], [[-0.746, -0.263], 0.0], [[-0.83, -0.47], 1]], [[[0.8299, -0.47], 2]], [[[0.8299, 0.47], 2]]]",22.58,0,0,0,0,13.177,0,0.0,14.0,28,0.0
basic_ca,3,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 10], [[-0.5533, 0.235], 2], [[0.0, 0.235], 1], [[0.0, -0.235], 10], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 2]], [[[0.8299, 0.47], 2]]]",22.58,0,0,0,0,4.135,0,0.0,5.5,6,0.0

no_ca,4,"[[[[-0.8299, -0.47], 2]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 8], [[0.0, 0.235], 5], [[0.0, -0.235], 8], [[-0.5533, 0.235], 6], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 1], [[0.5533, 0.235], 3], [[0.0, 0.235], 1], [[0.0, -0.235], 3], [[-0.5533, 0.235], 2], [[0.8299, 0.47], 1]], [[[-0.8299, 0.47], 2]]]",20.0,3,2,0,1,7.574,2.5,0.33,10.0,10,0.3
pf_ca,4,"[[[[-0.8299, -0.47], 2]], [[[0.83, -0.47], 1.0], [[0.584, -0.035], 0.0], [[0.553, 0.235], 8.0], [[0.933, 0.56], 0.0], [[1.187, 0.991], 0.0], [[0.751, 0.745], 0.0], [[0.313, 0.505], 0.0], [[0.0, 0.235], 5.0], [[0.0, -0.235], 8.0], [[0.438, 0.006], 0.0], [[-0.039, 0.156], 0.0], [[0.435, -0.005], 0.0], [[0.518, 0.488], 0.0], [[0.038, 0.35], 0.0], [[0.533, 0.283], 0.0], [[0.341, 0.745], 0.0], [[-0.072, 0.463], 0.0], [[0.415, 0.35], 0.0], [[-0.072, 0.235], 0.0], [[-0.553, 0.235], 6.0], [[-0.144, 0.523], 0.0], [[0.298, 0.756], 0.0], [[0.568, 1.177], 0.0], [[0.59, 0.677], 0.0], [[0.658, 0.182], 0.0], [[0.798, -0.298], 0.0], [[0.83, -0.47], 1]], [[[0.83, 0.47], 1.0], [[0.553, 0.235], 3.0], [[0.208, -0.126], 0.0], [[0.0, 0.235], 1.0], [[0.0, -0.235], 3.0], [[0.422, 0.033], 0.0], [[-0.052, 0.192], 0.0], [[0.087, -0.288], 0.0], [[-0.149, -0.729], 0.0], [[0.348, -0.781], 0.0], [[0.061, -0.372], 0.0], [[0.19, -0.855], 0.0], [[-0.124, -0.465], 0.0], [[0.222, -0.827], 0.0], [[-0.059, -0.413], 0.0], [[0.314, -0.746], 0.0], [[-0.03, -0.383], 0.0], [[0.318, -0.742], 0.0], [[-0.042, -0.395], 0.0], [[0.347, -0.709], 0.0], [[0.621, -1.127], 0.0], [[0.227, -0.82], 0.0], [[0.36, -1.302], 0.0], [[0.027, -0.928], 0.0], [[0.233, -1.384], 0.0], [[0.029, -0.927], 0.0], [[0.249, -1.376], 0.0], [[0.034, -0.925], 0.0], [[0.248, -1.377], 0.0], [[0.011, -0.937], 0.0], [[0.229, -1.386], 0.0], [[0.058, -0.917], 0.0], [[0.171, -1.404], 0.0], [[-0.045, -0.953], 0.0], [[-0.148, -1.442], 0.0], [[-0.243, -0.951], 0.0], [[-0.142, -1.441], 0.0], [[-0.239, -0.95], 0.0], [[0.133, -1.285], 0.0], [[-0.103, -0.844], 0.0], [[0.392, -0.919], 0.0], [[-0.001, -0.609], 0.0], [[0.495, -0.551], 0.0], [[0.118, -0.223], 0.0], [[0.169, -0.72], 0.0], [[-0.177, -0.358], 0.0], [[0.228, -0.652], 0.0], [[-0.153, -0.329], 0.0], [[0.33, -0.458], 0.0], [[-0.09, -0.187], 0.0], [[0.392, -0.318], 0.0], [[-0.043, -0.073], 0.0], [[0.442, -0.194], 0.0], [[-0.035, -0.043], 0.0], [[0.449, -0.171], 0.0], [[-0.032, -0.033], 0.0], [[0.454, -0.152], 0.0], [[-0.015, 0.023], 0.0], [[0.472, -0.09], 0.0], [[-0.027, -0.059], 0.0], [[0.393, -0.332], 0.0], [[-0.032, -0.068], 0.0], [[0.462, 0.005], 0.0], [[0.252, -0.449], 0.0], [[-0.169, -0.72], 0.0], [[0.327, -0.786], 0.0], [[-0.088, -1.066], 0.0], [[-0.272, -0.601], 0.0], [[0.225, -0.662], 0.0], [[-0.275, -0.679], 0.0], [[0.224, -0.709], 0.0], [[-0.255, -0.852], 0.0], [[0.201, -1.056], 0.0], [[-0.249, -1.273], 0.0], [[-0.324, -0.779], 0.0], [[0.132, -0.984], 0.0], [[-0.33, -1.177], 0.0], [[0.08, -1.464], 0.0], [[-0.11, -1.001], 0.0], [[-0.278, -0.53], 0.0], [[0.221, -0.561], 0.0], [[-0.278, -0.546], 0.0], [[0.221, -0.569], 0.0], [[-0.279, -0.573], 0.0], [[0.22, -0.61], 0.0], [[-0.28, -0.614], 0.0], [[0.219, -0.638], 0.0], [[-0.281, -0.63], 0.0], [[0.218, -0.662], 0.0], [[-0.282, -0.663], 0.0], [[0.218, -0.669], 0.0], [[-0.282, -0.668], 0.0], [[0.218, -0.68], 0.0], [[-0.282, -0.659], 0.0], [[0.218, -0.667], 0.0], [[-0.281, -0.648], 0.0], [[0.215, -0.711], 0.0], [[-0.277, -0.803], 0.0], [[0.18, -1.008], 0.0], [[-0.269, -1.229], 0.0], [[-0.346, -0.735], 0.0], [[0.116, -0.925], 0.0], [[-0.369, -1.044], 0.0], [[0.028, -1.348], 0.0], [[-0.131, -0.874], 0.0], [[-0.225, -1.365], 0.0], [[-0.352, -0.882], 0.0], [[0.1, -1.095], 0.0], [[-0.364, -1.28], 0.0], [[-0.461, -0.79], 0.0], [[-0.064, -1.093], 0.0], [[-0.119, -0.596], 0.0], [[-0.58, -0.402], 0.0], [[-0.081, -0.364], 0.0], [[-0.184, 0.125], 0.0], [[-0.553, 0.235], 2.0], [[-0.053, 0.244], 0.0], [[0.435, 0.137], 0.0], [[0.338, 0.628], 0.0], [[0.724, 0.311], 0.0], [[0.83, 0.47], 1]], [[[-0.8299, 0.47], 2]]]",20.0,2,1,0,1,71.64,1.5,0.021,73.0,146,0.014
basic_ca,4,"[[[[-0.8299, -0.47], 2]], [[[0.8299, -0.47], 4.5], [[0.5533, 0.235], 17.0], [[0.0, 0.235], 5], [[0.0, -0.235], 8], [[-0.5533, 0.235], 6], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 1], [[0.5533, 0.235], 3], [[0.0, 0.235], 1], [[0.0, -0.235], 3], [[-0.5533, 0.235], 11.0], [[0.8299, 0.47], 1]], [[[-0.8299, 0.47], 2]]]",65.0,1,1,0,0,7.574,1.0,0.132,10.0,10,0.1

no_ca,1,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 5], [[-0.5533, 0.235], 8], [[0.0, -0.235], 8], [[0.5533, 0.235], 6], [[-0.8299, -0.47], 1]]]",22.86,0,0,0,0,3.837,0,0.0,5.0,5,0.0
pf_ca,1,"[[[[-0.83, -0.47], 1.0], [[-0.553, -0.235], 5.0], [[-0.553, 0.235], 8.0], [[-0.132, -0.035], 0.0], [[0.0, -0.235], 8.0], [[0.36, 0.112], 0.0], [[0.553, 0.235], 6.0], [[0.135, -0.039], 0.0], [[-0.316, -0.255], 0.0], [[-0.804, -0.362], 0.0], [[-0.83, -0.47], 1]]]",22.86,0,0,0,0,3.912,0,0.0,5.0,10,0.0
basic_ca,1,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 5], [[-0.5533, 0.235], 8], [[0.0, -0.235], 8], [[0.5533, 0.235], 6], [[-0.8299, -0.47], 1]]]",22.86,0,0,0,0,3.837,0,0.0,5.0,5,0.0
